loss,cer
0.07520404487910466,0.989547911147851
0.07469155310579573,0.9883580388399371
0.07462308015707253,0.9883470794897327
0.07459710812237362,0.988401876240755
0.07455882466581643,0.9883971793763816
0.07452418397852076,0.9882359203662302
0.07445679783436704,0.9879932490402741
0.07357982732283429,0.9757187768112675
0.07222890173867828,0.963272086221905
0.0715157076264745,0.957003337904948
0.07091245472463335,0.9542963784044438
0.07032972627874153,0.948342320000501
0.06978989557747771,0.9403075506791666
0.06926435831619521,0.9321929346634853
0.06875292298816126,0.9249362792066683
